candidate	reason
бсвв	ABBREVIATION
вовд	ABBREVIATION
вопр	ABBREVIATION
врио	ABBREVIATION
втуз	ABBREVIATION
гаэс	ABBREVIATION
гибдд	ABBREVIATION
глонасс	ABBREVIATION
гост	ABBREVIATION
гоэлро	ABBREVIATION
гулаг	ABBREVIATION
долл	ABBREVIATION
загс	ABBREVIATION
закс	ABBREVIATION
зато	ABBREVIATION
канд	ABBREVIATION
коап	ABBREVIATION
мкад	ABBREVIATION
млрд	ABBREVIATION
ммкф	ABBREVIATION
ммоль	ABBREVIATION
мрот	ABBREVIATION
нгмд	ABBREVIATION
нгтс	ABBREVIATION
нкнх	ABBREVIATION
обсе	ABBREVIATION
огвз	ABBREVIATION
орви	ABBREVIATION
пмэф	ABBREVIATION
подп	ABBREVIATION
прим	ABBREVIATION
проф	ABBREVIATION
проц	ABBREVIATION
пэвм	ABBREVIATION
рожд	ABBREVIATION
роно	ABBREVIATION
рффи	ABBREVIATION
санпин	ABBREVIATION
сельпо	ABBREVIATION
сизо	ABBREVIATION
снип	ABBREVIATION
сост	ABBREVIATION
спид	ABBREVIATION
стоа	ABBREVIATION
субд	ABBREVIATION
табл	ABBREVIATION
триз	ABBREVIATION
трлн	ABBREVIATION
фсдн	ABBREVIATION
хмао	ABBREVIATION
чаво	ABBREVIATION
четв	ABBREVIATION
1-й	INVALID_CHARACTERS
10-й	INVALID_CHARACTERS
100-й	INVALID_CHARACTERS
11-й	INVALID_CHARACTERS
12-й	INVALID_CHARACTERS
13-й	INVALID_CHARACTERS
14-й	INVALID_CHARACTERS
15-й	INVALID_CHARACTERS
16-й	INVALID_CHARACTERS
17-й	INVALID_CHARACTERS
18-й	INVALID_CHARACTERS
19-й	INVALID_CHARACTERS
1910-й	INVALID_CHARACTERS
1920-й	INVALID_CHARACTERS
1930-й	INVALID_CHARACTERS
1940-й	INVALID_CHARACTERS
1950-й	INVALID_CHARACTERS
1960-й	INVALID_CHARACTERS
1970-й	INVALID_CHARACTERS
1980-й	INVALID_CHARACTERS
1990-й	INVALID_CHARACTERS
2-й	INVALID_CHARACTERS
20-й	INVALID_CHARACTERS
200-й	INVALID_CHARACTERS
25-летие	INVALID_CHARACTERS
блядь	MANUAL_BLOCK
говно	MANUAL_BLOCK
дерьмо	MANUAL_BLOCK
жопа	MANUAL_BLOCK
задница	MANUAL_BLOCK
мудак	MANUAL_BLOCK
мудила	MANUAL_BLOCK
пидор	MANUAL_BLOCK
пизда	MANUAL_BLOCK
сволочь	MANUAL_BLOCK
сука	MANUAL_BLOCK
ублюдок	MANUAL_BLOCK
шлюха	MANUAL_BLOCK
ведро | вёдро	NORMALIZATION_COLLISION
маркер | маркёр	NORMALIZATION_COLLISION
небо | нёбо	NORMALIZATION_COLLISION
падеж | падёж	NORMALIZATION_COLLISION
солитер | солитёр	NORMALIZATION_COLLISION
шабер | шабёр	NORMALIZATION_COLLISION
абелев	NOT_NOUN
авансом	NOT_NOUN
аварски	NOT_NOUN
авгиев	NOT_NOUN
авизный	NOT_NOUN
авось	NOT_NOUN
агамный	NOT_NOUN
агарный	NOT_NOUN
агатный	NOT_NOUN
адажио	NOT_NOUN
адов	NOT_NOUN
адовый	NOT_NOUN
адски	NOT_NOUN
адский	NOT_NOUN
ажурно	NOT_NOUN
ажурный	NOT_NOUN
азартно	NOT_NOUN
азовски	NOT_NOUN
азотный	NOT_NOUN
азямный	NOT_NOUN
айвовый	NOT_NOUN
айда	NOT_NOUN
айкать	NOT_NOUN
айкнуть	NOT_NOUN
айнский	NOT_NOUN
акать	NOT_NOUN
акающий	NOT_NOUN
акитный	NOT_NOUN
аккурат	NOT_NOUN
активно	NOT_NOUN
актный	NOT_NOUN
актовый	NOT_NOUN
акулий	NOT_NOUN
алеть	NOT_NOUN
алеться	NOT_NOUN
алкать	NOT_NOUN
