lemma	length	difficulty	morphology_tags	plural_only	zipf_frequency	frequency_rank_for_length	source	status	manual_decision
абзац	5	MEDIUM	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	3.24	796	TRUSTED_V1	TRUSTED	ALLOW
авария	6	HARD	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,ablt,V-ey | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	4.11	184	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
август	6	HARD	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	4.28	127	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
авиация	7	EXPERT	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,ablt,V-ey | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	3.97	224	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
авто	4	EASY	NOUN,inan,neut,Fixd plur,ablt | NOUN,inan,neut,Fixd plur,accs | NOUN,inan,neut,Fixd plur,datv | NOUN,inan,neut,Fixd plur,gent | NOUN,inan,neut,Fixd plur,loct | NOUN,inan,neut,Fixd plur,nomn | NOUN,inan,neut,Fixd sing,ablt | NOUN,inan,neut,Fixd sing,accs | NOUN,inan,neut,Fixd sing,datv | NOUN,inan,neut,Fixd sing,gent | NOUN,inan,neut,Fixd sing,loct | NOUN,inan,neut,Fixd sing,nomn	false	4.26	141	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
автобус	7	EXPERT	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	4.54	69	MANUAL_ALLOW	IN_POOL_REVIEW_REQUIRED	ALLOW
автомат	7	EXPERT	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	4.06	196	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
автор	5	MEDIUM	NOUN,anim,masc plur,ablt | NOUN,anim,masc plur,accs | NOUN,anim,masc plur,datv | NOUN,anim,masc plur,gent | NOUN,anim,masc plur,loct | NOUN,anim,masc plur,nomn | NOUN,anim,masc sing,ablt | NOUN,anim,masc sing,accs | NOUN,anim,masc sing,datv | NOUN,anim,masc sing,gent | NOUN,anim,masc sing,loct | NOUN,anim,masc sing,nomn	false	5.13	13	TRUSTED_V1	TRUSTED	ALLOW
агрегат	7	EXPERT	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	3.51	461	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
адвокат	7	EXPERT	NOUN,anim,masc plur,ablt | NOUN,anim,masc plur,accs | NOUN,anim,masc plur,datv | NOUN,anim,masc plur,gent | NOUN,anim,masc plur,loct | NOUN,anim,masc plur,nomn | NOUN,anim,masc sing,ablt | NOUN,anim,masc sing,accs | NOUN,anim,masc sing,datv | NOUN,anim,masc sing,gent | NOUN,anim,masc sing,loct | NOUN,anim,masc sing,nomn	false	4.62	58	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
